,ACT Symbol,Company Name,Security Name,Exchange,CQS Symbol,ETF,Round Lot Size,Test Issue,NASDAQ Symbol
0,A,"Agilent Technologies, Inc. Common Stock","Agilent Technologies, Inc. Common Stock",N,A,N,100.0,N,A
1,AA,Alcoa Inc. Common Stock,Alcoa Inc. Common Stock,N,AA,N,100.0,N,AA
2,AA$,Alcoa Inc. $3.75 Preferred Stock,Alcoa Inc. $3.75 Preferred Stock,A,AAp,N,100.0,N,AA-
3,AA$B,Alcoa Inc. Depository Shares Representing 1/10th Preferred Convertilble Class B Series 1,Alcoa Inc. Depository Shares Representing 1/10th Preferred Convertilble Class B Series 1,N,AApB,N,100.0,N,AA-B
4,AAC,"AAC Holdings, Inc. Common Stock","AAC Holdings, Inc. Common Stock",N,AAC,N,100.0,N,AAC
5,AADR,WCM BNY Mellon Focused Growth ADR ETF,WCM BNY Mellon Focused Growth ADR ETF,P,AADR,Y,100.0,N,AADR
6,AAMC,Altisource Asset Management Corp Com,Altisource Asset Management Corp Com,A,AAMC,N,100.0,N,AAMC
7,AAN,"Aaron's, Inc. Common Stock","Aaron's, Inc. Common Stock",N,AAN,N,100.0,N,AAN
8,AAP,Advance Auto Parts Inc Advance Auto Parts Inc W/I,Advance Auto Parts Inc Advance Auto Parts Inc W/I,N,AAP,N,100.0,N,AAP
9,AAT,"American Assets Trust, Inc. Common Stock","American Assets Trust, Inc. Common Stock",N,AAT,N,100.0,N,AAT
10,AAU,"Almaden Minerals, Ltd. Ordinary Shares (Canada)","Almaden Minerals, Ltd. Ordinary Shares (Canada)",A,AAU,N,100.0,N,AAU
11,AAV,Advantage Oil & Gas Ltd  Ordinary Shares,Advantage Oil & Gas Ltd  Ordinary Shares,N,AAV,N,100.0,N,AAV
12,AB,Allianceberstein Holding L.P.  Units,Allianceberstein Holding L.P.  Units,N,AB,N,100.0,N,AB
13,ABB,ABB Ltd Common Stock,ABB Ltd Common Stock,N,ABB,N,100.0,N,ABB
14,ABBV,AbbVie Inc. Common Stock,AbbVie Inc. Common Stock,N,ABBV,N,100.0,N,ABBV
15,ABC,AmerisourceBergen Corporation (Holding Co) Common Stock,AmerisourceBergen Corporation (Holding Co) Common Stock,N,ABC,N,100.0,N,ABC
